symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count
AI,"C3.ai, Inc.",28.75,5293885.966666667,45.08000183105469,17.030000686645508,20.192307308948763,0.9999462713801176,23.310999965667726,22.027399978637696,Low Price,2025-05-29T18:17:01.306096,251
UPST,"Upstart Holdings, Inc.",46.25,6550478.333333333,96.42900085449219,20.600000381469727,98.32761837584844,0.7868222692355467,48.29899978637695,46.24859962463379,Low Price,2025-05-29T18:17:01.998985,251
PATH,"UiPath, Inc.",12.84,9915842.4,18.625,9.380000114440918,-29.83606181477455,0.29419555355415655,12.521000003814697,11.485599994659424,Low Price,2025-05-29T18:17:02.300878,251
BBAI,"BigBear.ai, Inc.",3.9402,71997769.03333333,10.359999656677246,1.1649999618530273,157.52942248941727,1.1360379991455682,3.5725099802017213,3.2182039833068847,Low Price,2025-05-29T18:17:02.534490,251
SOUN,"SoundHound AI, Inc.",10.655,31476239.366666667,24.979999542236328,3.819999933242798,126.70213117811046,1.1779042466265681,10.128750038146972,9.271700019836425,Low Price,2025-05-29T18:17:02.764402,251
GFAI,"Guardforce AI Co., Limited",1.185,314001.06666666665,3.880000114440918,0.7599999904632568,-57.22021837764849,0.5233853202470455,1.1024999856948852,1.0526599967479706,Low Price,2025-05-29T18:17:02.871810,251
AITX,Artificial Intelligence Technol,0.00134,118640073.76666667,0.007600000128149986,0.0012000000569969416,-80.71942459539896,1.1449712942638435,0.0015219999942928553,0.0018116000085137785,Low Price,2025-05-29T18:17:03.260952,251
AGFY,Agrify Corporation,28.0904,51630.46666666667,84.44000244140625,2.7100000381469727,541.333332462398,1.94514060627868,25.123169898986816,20.603467922210694,Low Price,2025-05-29T18:17:03.275113,251
PLTR,Palantir Technologies Inc.,122.97,95171597.93333334,133.49000549316406,20.639999389648438,487.2015088274989,0.6919011745543291,122.13149986267089,104.79699981689453,Medium Price,2025-05-29T18:17:03.600974,251
ENPH,"Enphase Energy, Inc.",38.795,7737269.766666667,141.6300048828125,37.59000015258789,-69.1343802884954,0.9678431278224295,45.23324966430664,51.09769996643067,Low Price,2025-05-29T18:17:04.397651,251
VERI,"Veritone, Inc.",1.58,525199.6333333333,5.635000228881836,1.5700000524520874,-45.89041090297932,0.6265129408518295,1.8157499969005584,2.1219999957084656,Low Price,2025-05-29T18:17:04.569739,251
TSLA,"Tesla, Inc.",358.1076,108778125.7,488.5400085449219,167.41000366210938,103.26068167182076,0.48353238642939245,322.7197525024414,284.19530212402344,Medium Price,2025-05-29T18:17:05.117683,251
SEDG,"SolarEdge Technologies, Inc.",16.61,5470178.5,51.5,10.239999771118164,-65.79489262640878,1.5742152647538712,17.379000091552733,15.523600158691407,Low Price,2025-05-29T18:17:05.140277,251
RUN,Sunrun Inc.,6.82,19059771.233333334,22.260000228881836,5.449999809265137,-48.99027501841904,1.7747910065023054,9.11449999809265,7.606200017929077,Low Price,2025-05-29T18:17:05.861753,251
SPWR,"Complete Solaria, Inc.",1.22,861793.7333333333,3.369999885559082,1.059999942779541,-23.270440062957498,0.9504167488467274,1.7089999973773957,1.6875,Low Price,2025-05-29T18:17:06.496328,251
NEE,"NextEra Energy, Inc.",68.747,13675078.2,84.82785464854152,61.720001220703125,-7.818415883193374,0.38109397495486635,69.69085083007812,68.68974014282226,Low Price,2025-05-29T18:17:06.509046,251
EXC,Exelon Corporation,43.64,6927733.033333333,47.684343798177004,32.72990186863904,25.336654326883632,0.22012357297282412,44.31404457092285,44.840574188232424,Low Price,2025-05-29T18:17:06.905912,251
D,"Dominion Energy, Inc.",55.94,5658406.333333333,60.55187296229579,46.33364077034297,11.884743340858272,0.21753713746493222,55.4435001373291,54.405600204467774,Low Price,2025-05-29T18:17:07.320706,251
SO,Southern Company (The),88.58,4632171.166666667,92.8687911441395,74.12817107657035,18.6289289129123,0.23897102638261883,88.9064224243164,89.23527618408202,Low Price,2025-05-29T18:17:07.850668,251
AEP,American Electric Power Company,102.43,3197918.033333333,109.50323526222823,82.81623792348712,21.50589347302805,0.21988940317208736,103.38535537719727,104.32821212768555,Medium Price,2025-05-29T18:17:07.959742,251
DUK,Duke Energy Corporation (Holdin,115.245,3423050.933333333,124.1408994783785,95.60292283237341,19.09297272766981,0.2417628084669291,117.01029930114746,117.96845993041993,Medium Price,2025-05-29T18:17:08.371979,251
