symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count,open,daily_high,daily_low,close,high,low
AI,"C3.ai, Inc.",,6653983.333333333,45.08000183105469,17.030000686645508,-13.499997456868485,0.9230360820165308,24.30900001525879,22.349599952697755,Low Price,2025-06-07T19:07:25.408754,250,25.850000381469727,,,25.95,26.6299991607666,25.660999298095703
UPST,"Upstart Holdings, Inc.",,6614760.0,96.42900085449219,20.600000381469727,120.94347903180842,0.7189783469740545,48.66499977111816,45.99239967346191,Low Price,2025-06-07T19:07:25.829361,250,53.38999938964844,,,54.33,55.2599983215332,52.779998779296875
PATH,"UiPath, Inc.",,11926660.0,15.930000305175781,9.380000114440918,10.08333365122478,0.3939782279907444,12.845499992370605,11.73099998474121,Low Price,2025-06-07T19:07:25.858737,250,13.289999961853027,,,13.21,13.390000343322754,12.979999542236328
BBAI,"BigBear.ai, Inc.",,89573876.66666667,10.359999656677246,1.1649999618530273,167.36109386439745,1.3075815434818285,3.7929999828338623,3.3059999799728392,Low Price,2025-06-07T19:07:26.221883,250,3.869999885559082,,,3.85,4.03000020980835,3.809999942779541
GFAI,"Guardforce AI Co., Limited",,341130.0,3.880000114440918,0.7599999904632568,-52.631581233504356,0.5728073091135979,1.139499992132187,1.0545599949359894,Low Price,2025-06-07T19:07:26.309653,250,1.1699999570846558,,,1.17,1.1950000524520874,1.149999976158142
SOUN,"SoundHound AI, Inc.",,32965656.666666668,24.979999542236328,3.819999933242798,117.41934299634416,1.2240322722860975,10.321000051498412,9.280400009155274,Low Price,2025-06-07T19:07:26.365820,250,9.734999656677246,,,10.11,10.239999771118164,9.6899995803833
AITX,Artificial Intelligence Technol,,137941478.33333334,0.006399999838322401,0.0012000000569969416,-74.13793048078324,1.282593865266713,0.001427499984856695,0.0017240000097081066,Low Price,2025-06-07T19:07:26.701922,250,0.00139999995008111,,,0.0015,0.0015999999595806003,0.0013000000035390258
AGFY,Agrify Corporation,,52163.333333333336,84.44000244140625,2.7100000381469727,519.7182676081626,1.404558316070063,26.28764991760254,21.485299892425537,Low Price,2025-06-07T19:07:26.823695,250,27.56999969482422,,,26.4,27.56999969482422,26.399999618530273
VERI,"Veritone, Inc.",,623193.3333333334,5.635000228881836,1.4199999570846558,-40.0,0.6382557369130554,1.677999997138977,1.9732999944686889,Low Price,2025-06-07T19:07:26.867379,250,1.4900000095367432,,,1.5,1.5700000524520874,1.4800000190734863
ENPH,"Enphase Energy, Inc.",,7581500.0,141.6300048828125,37.59000015258789,-66.45213824425598,0.9111594016169794,44.301499938964845,48.736199951171876,Low Price,2025-06-07T19:07:27.398685,250,41.68000030517578,,,41.18,41.959999084472656,41.0099983215332
TSLA,"Tesla, Inc.",,116325206.66666667,488.5400085449219,167.41000366210938,66.29480603635234,0.74879990489927,335.78150177001953,291.9192013549805,Medium Price,2025-06-07T19:07:27.407592,250,298.8299865722656,,,295.14,305.5,291.1400146484375
SPWR,"Complete Solaria, Inc.",,986373.3333333334,3.369999885559082,1.059999942779541,34.01360478017887,1.336551705142893,1.6789999961853028,1.7008999967575074,Low Price,2025-06-07T19:07:27.780598,250,1.809999942779541,,,1.97,2.009999990463257,1.7400000095367432
FSLR,"First Solar, Inc.",,5582140.0,306.7699890136719,116.55999755859375,-37.77586280308537,1.048081656504932,164.0789993286133,143.36839996337892,Medium Price,2025-06-07T19:07:27.786952,250,165.13999938964844,,,166.35,166.9199981689453,162.5
SEDG,"SolarEdge Technologies, Inc.",,5380033.333333333,49.56999969482422,10.239999771118164,-60.70425540225896,1.3380816304334322,18.402500057220458,15.618400115966796,Low Price,2025-06-07T19:07:27.788850,250,17.850000381469727,,,18.19,18.360000610351562,17.700000762939453
RUN,Sunrun Inc.,,21375516.666666668,22.260000228881836,5.449999809265137,-36.728621936338946,1.8070335724733717,9.293499970436097,7.783800001144409,Low Price,2025-06-07T19:07:28.182914,250,8.479999542236328,,,8.51,8.579999923706055,8.03499984741211
NEE,"NextEra Energy, Inc.",,13467270.0,84.14697436217105,61.22460215339155,-1.4285434384675333,0.390239071655771,70.46729049682617,68.28664741516113,Low Price,2025-06-07T19:07:28.328518,250,71.62000274658203,,,72.16,72.29000091552734,71.47000122070312
AEP,American Electric Power Company,,3107036.6666666665,109.50323526222823,82.81623040175873,19.611720135259358,0.21306246598604392,102.28099975585937,104.18461090087891,Medium Price,2025-06-07T19:07:28.490817,250,101.83000183105469,,,101.79,102.0,101.1500015258789
D,"Dominion Energy, Inc.",,5774896.666666667,59.82801950703348,45.7797600825875,13.651977423792715,0.22356762858799067,55.4598482131958,54.09801666259766,Low Price,2025-06-07T19:07:28.864932,250,56.380001068115234,,,55.77,56.380001068115234,55.470001220703125
EXC,Exelon Corporation,,7253253.333333333,47.684343798177004,32.7299056577115,22.440984619282677,0.2066072815298777,43.563999557495116,44.81054626464844,Low Price,2025-06-07T19:07:28.869060,250,42.95000076293945,,,42.62,43.029998779296875,42.36000061035156
SO,Southern Company (The),,5225823.333333333,92.8687911441395,74.43768185532164,17.078117186659526,0.23759844391663196,88.5061538696289,89.3250665283203,Low Price,2025-06-07T19:07:29.077484,250,88.54000091552734,,,88.26,88.68000030517578,87.7300033569336
DUK,Duke Energy Corporation (Holdin,,3510763.3333333335,124.1408994783785,95.60292283237341,16.52465457122021,0.233605777191871,115.82067375183105,117.87493270874023,Medium Price,2025-06-07T19:07:29.428380,250,115.58000183105469,,,115.23,116.0999984741211,114.76000213623047
XEL,Xcel Energy Inc.,,3754520.0,73.0,50.67669981819753,29.656868725882667,0.25852923788356535,69.77400016784668,69.89279998779297,Low Price,2025-06-07T19:07:29.437777,250,68.93000030517578,,,68.51,69.13999938964844,68.12000274658203
SRE,DBA Sempra,,3682686.6666666665,94.2580237983279,61.900001525878906,5.29207260543989,0.18470855920275833,77.053999710083,73.76779945373535,Low Price,2025-06-07T19:07:29.651165,250,76.61000061035156,,,76.85,76.9000015258789,75.83999633789062
PEG,Public Service Enterprise Group,,3415666.6666666665,93.81672458013468,70.29891724747476,12.534551575680307,0.21453110044814394,79.34099998474122,80.32300018310546,Low Price,2025-06-07T19:07:30.043286,250,80.45999908447266,,,80.2,80.45999908447266,79.38999938964844
ED,"Consolidated Edison, Inc.",,2942936.6666666665,113.89924126554786,85.24459110664442,14.774288961732584,0.25089587148578735,103.28524856567383,106.91081741333008,Medium Price,2025-06-07T19:07:30.092922,250,102.11000061035156,,,101.61,102.55000305175781,101.08000183105469
EIX,Edison International,,3003363.3333333335,86.38769513808452,48.31805252497342,-23.928043089118688,0.2407667336573818,56.229000091552734,56.31534141540527,Low Price,2025-06-07T19:07:30.272671,250,53.9900016784668,,,53.76,54.369998931884766,53.36000061035156
AWK,"American Water Works Company, I",,1360770.0,154.57130600334858,117.30255049799621,11.769760297581279,0.3263880217225641,141.13222122192383,143.65416442871094,Medium Price,2025-06-07T19:07:30.560742,250,140.1699981689453,,,140.05,141.44000244140625,139.41000366210938
PCG,Pacific Gas & Electric Co.,,16231096.666666666,21.66112345522239,14.96795557625283,-13.022658926403963,0.22439709387759257,16.96099982261658,16.983595581054686,Low Price,2025-06-07T19:07:30.708232,250,16.030000686645508,,,15.64,16.030000686645508,15.520000457763672
PLUG,"Plug Power, Inc.",,154307706.66666666,3.3399999141693115,0.6899999976158142,-66.5517242513287,1.228224322600479,0.8415000021457673,0.9528000044822693,Low Price,2025-06-07T19:07:30.996527,250,0.8999999761581421,,,0.9692,1.0099999904632568,0.8899999856948853
CNP,"CenterPoint Energy, Inc (Holdin",,5459533.333333333,39.07352052045635,24.9089671049893,24.663405860708654,0.15394926176538667,37.156097412109375,37.09905746459961,Low Price,2025-06-07T19:07:30.998871,250,36.93000030517578,,,36.61,36.93000030517578,36.349998474121094
BE,Bloom Energy Corporation,,5739203.333333333,29.825000762939453,9.020000457763672,46.765501770209724,0.6883662427877116,19.391500091552736,18.590200004577635,Low Price,2025-06-07T19:07:31.180691,250,20.81999969482422,,,21.78,21.81999969482422,20.809999465942383
